lang,paradigm,variation,version,native,score,changed,improvement
Kotlin,Functional,,21.2.0.r11-grl,TRUE,329871.92,269854.93,81.81%
Kotlin,Functional,,21.2.0.r16-grl,TRUE,751525.10,272830.5,36.30%
Kotlin,Functional,MapReduce,11.0.12,FALSE,243119.80,461508.87,189.83%
Kotlin,Functional,MapReduce,17.0.0,FALSE,308806.19,591111.01,191.42%
Kotlin,Functional,MapReduce,21.2.0.r11-grl,TRUE,210542.73,498982.69,237.00%
Kotlin,Functional,MapReduce,21.2.0.r16-grl,TRUE,326162.74,424752.37,130.23%
Kotlin,Imperative,Call,11.0.12,FALSE,1735967.08,1550893.14,89.34%
Kotlin,Imperative,Call,17.0.0,FALSE,1573645.87,1576954.02,100.21%
Kotlin,Imperative,Call,21.2.0.r11-grl,TRUE,1217797.04,1210708.72,99.42%
Kotlin,Imperative,Call,21.2.0.r16-grl,TRUE,1789109.46,1129483.83,63.13%
Kotlin,Imperative,Inline,11.0.12,FALSE,608710261.31,886100353.6,145.57%
Kotlin,Imperative,Inline,17.0.0,FALSE,903619032.64,911427265.5,100.86%
Kotlin,Imperative,Inline,21.2.0.r11-grl,TRUE,23850637.36,22251752.41,93.30%
Kotlin,Imperative,Inline,21.2.0.r16-grl,TRUE,1323461944.89,20902030.1,1.58%
Scala,Functional,,11.0.12,FALSE,247764.35,62689.24,25.30%
Scala,Functional,,17.0.0,FALSE,405825.23,53379.36,13.15%
Scala,Functional,,21.2.0.r11-grl,TRUE,574252.49,73150.65,12.74%
Scala,Functional,,21.2.0.r16-grl,TRUE,414104.57,43179.79,10.43%
Scala,Functional,Streams,11.0.12,FALSE,46519.51,385908.46,829.56%
Scala,Functional,Streams,17.0.0,FALSE,53011.68,500733.95,944.57%
Scala,Functional,Streams,21.2.0.r11-grl,TRUE,67392.01,519120.36,770.30%
Scala,Functional,Streams,21.2.0.r16-grl,TRUE,60384.77,540049.84,894.35%
Scala,Functional,Z,11.0.12,FALSE,349362.94,342851.61,98.14%
Scala,Functional,Z,17.0.0,FALSE,457628.71,393387.51,85.96%
Scala,Functional,Z,21.2.0.r11-grl,TRUE,574676.30,585884.63,101.95%
Scala,Functional,Z,21.2.0.r16-grl,TRUE,493710.13,573594.12,116.18%
Scala,Imperative,Call,11.0.12,FALSE,843812.50,939091.14,111.29%
Scala,Imperative,Call,17.0.0,FALSE,699225.33,872538.58,124.79%
Scala,Imperative,Call,21.2.0.r11-grl,TRUE,1063185.85,1049351.24,98.70%
Scala,Imperative,Call,21.2.0.r16-grl,TRUE,1212173.35,948252.67,78.23%
Scala,Imperative,Inline,11.0.12,FALSE,1447523.98,1484010.18,102.52%
Scala,Imperative,Inline,17.0.0,FALSE,1803322.32,1509134.61,83.69%
Scala,Imperative,Inline,21.2.0.r11-grl,TRUE,1190108.18,934453.73,78.52%
Scala,Imperative,Inline,21.2.0.r16-grl,TRUE,2010448.88,950917.62,47.30%
